Opportunity Name,OP Number,Brand Vertical Classification
Lactalis Legacy APEX US Brand Campaign Q2-Q4'19 OP003415,OP003415,CPG/Food & Drink
Bel Brands Spark/APEX US Boursin Q2-Q4'21 OP006161,OP006161,CPG/Food & Drink
Anthem Starcom/APEX CA Individual Cali Q4'20-Q1'21 OP006078,OP006078,Health & Fitness
Kohl's Zenith/APEX State Level Reopening Q2'20 OP004767,OP004767,"Retail, Style & Fashion"
Invisalign Publicis/APEX US Adults Non-Skip Q4'20 OP006142,OP006142,Health & Fitness
Miller Coors Spark/APEX US Portfolio Q4'18 OP002401,OP002401,Alcohol/LDA
Jack In The Box Horizon Media US JIB Ribeye Burger Digital Q4 2017 OP002275,OP002275,Quick Service Restaurant (QSR)
Grupo Bimbo Starcom/APEX US BBU Marinela Muyyum FY'21 OP005148,OP005148,CPG/Food & Drink
Apple OMD US_Professor Plum ILAAMS Q4'20 OP005950,OP005950,Technology & Computing
AAA Insurance Media Plus Washington Brand Q2-Q3'20 OP004677,OP004677,Automotive
Spin Master Initiative US Boxer Q3-Q4'18 OP002573,OP002573,CPG
Novartis Starcom/APEX US Entresto DTC FY'21 OP005977,OP005977,Health & Fitness
Pizza Hut Blue 449/APEX US Loyalty Program Q3 2017 OP002054,OP002054,Quick Service Restaurant (QSR)
UCSF Palisades Media US Personas Q2'18 OP002714,OP002714,Health & Fitness
Pizza Hut Blue 449/APEX US UCC Q4 2017 OP002382,OP002382,Quick Service Restaurant (QSR)
Saks Off Fifth Zenith/APEX US Nov 2017 OP002356,OP002356,"Retail, Style & Fashion"
FOX TH Zenith/APEX Canada The Mountain Between Us Q3-Q4'17 OP002245,OP002245,Arts & Entertainment
CA Lottery Initiative CA Holiday Scratchers Q4'17 OP002246,OP002246,Arts & Entertainment
Novartis Starcom/APEX US Kesimpta DTC FY'21 OP006075,OP006075,Health & Fitness
Grupo Bimbo Starcom/APEX US Takis Portfolio Q2-Q4'21 OP006116,OP006116,CPG/Food & Drink
Frigidaire Electrolux US Channel Science ILAAS Q4'20-Q1'21 OP006121,OP006121,Home & Garden
Nature's Way Spark/APEX US Cold & Flu Q1-Q2'21 OP006138,OP006138,Health & Fitness
Novartis Starcom/APEX US Cosentyx PsA FY'18 OP002268,OP002268,Health & Fitness
Brown Forman Spark/APEX US Jack Daniels Honey Q2-Q3'18 OP002249,OP002249,Alcohol/LDA
Enbridge Publicis/APEX US DMAs+CA Awareness Q4'20 OP006159,OP006159,Energy Oil/Gas
Grupo Bimbo Starcom/APEX US Sara Lee Whole Grain White Bread Q1'18 OP002277,OP002277,CPG/Food & Drink
Nature's Way Spark/APEX US Alive Q1-Q2'21 OP006114,OP006114,Health & Fitness
AEB Starcom/APEX US  Like Your Eggs Q4'17 OP002276,OP002276,CPG/Food & Drink
Grupo Bimbo Starcom/APEX US Sara Lee Artesano Golden Wheat Q1-Q2'18 OP002278,OP002278,CPG/Food & Drink
Liberty Mutual Insurance Blue 449/APEX US Q4 '17 OP002261,OP002261,"Business, Finance, Real Estate"
Visit California Baak Media Global Kidifornia Q1-Q2'18 OP002269,OP002269,Travel & Tourism
Honda Spark/APEX NY TriHonda NYC Branding Q1-Q2'18 OP002254,OP002254,Automotive
eBay Blue 449/APEX US Holiday Campaign Q4'17 OP002290,OP002290,"Retail, Style & Fashion"
CA Lottery Horizon Media US Awareness Q3'21 OP007573,OP007573,Uncategorized
Men's Wearhouse Publicis/APEX US Spring Q2'21 OP007544,OP007544,"Retail, Style & Fashion"
Dropbox Starcom/APEX US Q3'17 - Q1'18 OP002158,OP002158,Technology & Computing
Smucker's Zenith/APEX US Cafe Bustelo FY21 (Nov-Jan) OP005845,OP005845,CPG/Food & Drink
Spin Master Initiative US Hedbanz Fall Q4'20 OP005836,OP005836,CPG
Jack In The Box Horizon Media US Premium Hispanic Q3 2017 OP002168,OP002168,Quick Service Restaurant (QSR)
Conagra Spark/APEX USA Healthy Choice and Marie Meals Q4'17-Q2'18 OP002247,OP002247,CPG/Food & Drink
Volcan De Fuego West 1895 Single Estate Coffee Brand Campaign Q2'19 OP003399,OP003399,CPG/Food & Drink
The Accidentals Sony Music US Q3 2017 OP002242,OP002242,Arts & Entertainment
Chevron MEC US Politico Q3-Q4 2017 OP002020,OP002020,Energy Oil/Gas
Emirates Refuel US Q3-Q4 2017 OP002163,OP002163,Travel & Tourism
Spin Master Initiative US Paw Patrol Q3-Q4'18 OP002965,OP002965,CPG
Sonic Drive-In Zenith/APEX US FY 2018 OP002032,OP002032,Quick Service Restaurant (QSR)
Luxottica Publicis/APEX US Ray-Bans Holiday Q4'20 OP006160,OP006160,"Retail, Style & Fashion"
Munchkin Campbell Ewald USA Masterbrand Baby Formula Q1-Q4 2017 OP001838,OP001838,Family & Parenting
Invisalign Publicis/APEX US Moms Non-Skip Q4'20 OP006141,OP006141,Health & Fitness
Girls Trip Test Q2-Q3 2017 OP001900,OP001900,Arts & Entertainment
Jack In The Box Horizon Media US JIB Efficient Streaming Ribeye Burger Q4 2017 OP002237,OP002237,Quick Service Restaurant (QSR)
CAA - Columbia: PFG CMA integration distribution plan: Q2 2017 OP001442,OP001442,
Leesa Publicis/APEX US Brand Awareness Q4'20 OP005961,OP005961,CPG
Toys R Us and Babies R Us OMD US Awareness Campaign Q4'17-Q1'18 OP002347,OP002347,Family & Parenting
DPSG Initiative US Diet Dr. Pepper Q1-Q3'18 OP002353,OP002353,CPG/Food & Drink
"Indeed, Mediacom NY, US Branding Campaign Q4'21 OP008241",OP008241,"Business, Finance, Real Estate"
Spin Master Initiative US Fugglers Q3-Q4'18 OP002597,OP002597,CPG
Spin Master Initiative US Air Hogs Supernova and Extreme Air Board Q3-Q4'18 OP002598,OP002598,CPG
eBay Blue 449/APEX US Post Holiday Seller Q4'17-Q1'18 OP002333,OP002333,"Retail, Style & Fashion"
Sony Electronics 4K A1E TV Influencer Campaign Q4 2017 OP002234,OP002234,Technology & Computing
Sony: Hello Dolly USA Q2 2016 OP002012,OP002012,Arts & Entertainment
California Avocado Commission Mullen West Coast Awareness Q1-Q3'21 OP006053,OP006053,CPG/Food & Drink
Novartis Starcom/APEX US Cosentyx PsA DTC FY'21 OP005841,OP005841,Health & Fitness
CDW Ogilvy US Preparing for the Future ILAAS Q4'20 OP006051,OP006051,Technology & Computing
Novartis Starcom/APEX US Cosentyx AxialSpA (Branded) FY'21 OP005826,OP005826,Health & Fitness
Mazda Garage Team Mazda US Hispanic Channel Science ILAAS Q2'21 OP008187,OP008187,Automotive
Monster Energy Digitas/APEX US Hydro Q3'21 OP008038,OP008038,CPG/Food & Drink
JSS CAMG US Cerebral Palsy/Medical Malpractice Guaranteed Outcomes Q2-Q3'21 OP008221,OP008221,"Law, Govt & Politics"
Twitch MediaHub US YouTube Conquesting Q2-Q4'21 OP008222,OP008222,Technology & Computing
Frigidaire Electrolux US Channel Science ILAAS Q2'21 OP008189,OP008189,Home & Garden
"Farmland Media Assembly US Grow a Meal, Share a Meal Q2'21 OP008192",OP008192,CPG/Food & Drink
Square Enix Collective: Black The Fall Petrol USA Q3 2017 OP002001,OP002001,Arts & Entertainment
Undisclosed Car Manufacturer  2017 OP001506,OP001506,Automotive
Grupo Bimbo Starcom/APEX US BBU Takis Rolled Tortilla FY21 OP006107,OP006107,CPG/Food & Drink
Napa Spark/APEX US January Clearance Q1'19 OP003239,OP003239,Automotive
Qantas Blue 449/APEX US InStream Q4 2017 OP002310,OP002310,Travel & Tourism
Southwest Airlines Spark Foundry/APEX US WGA Q3-Q4'20 OP005486,OP005486,Travel & Tourism
Dairy Queen Spark/APEX USA DQ Blizzard Q3'17 OP002049,OP002049,Quick Service Restaurant (QSR)
UCSF Palisades Media Group US Adult Fall 2017 Q3-Q4 OP002075,OP002075,Health & Fitness
Chick-Fil-A Starcom/APEX USA Q3-Q4'17 OP002077,OP002077,Quick Service Restaurant (QSR)
eBay Blue 449/APEX US Back to School Campaign Q3'17 OP002031,OP002031,"Retail, Style & Fashion"
Apple OMD US_ATV+ Arches_ILAAS Q2'21 OP008469,OP008469,Arts & Entertainment
Starbucks Starcom/APEX US Winter Q1'21 OP006077,OP006077,CPG/Food & Drink
Invisalign Publicis/APEX US Teens Non-Skip Q4'20 OP006143,OP006143,Health & Fitness
Confidential Brand Appcoach US Q3 2017 OP002060,OP002060,CPG
Bloodworks Media Plus US Swim for Life Q3 2017 OP002061,OP002061,Charitable Foundations
Oreo Chocolate Carat US Q4 2017 OP002068,OP002068,CPG/Food & Drink
Chanel Fashion GroupM National Q3 2017 OP002066,OP002066,"Retail, Style & Fashion"
Too Faced: Chocolate Gold Q4 2017 OP002435,OP002435,"Retail, Style & Fashion"
Merck Initiative US Keytruda Q1'18 OP002069,OP002069,Health & Fitness
Snowflake IT USA Tripp & Tyler Q3 2017 OP002074,OP002074,Technology & Computing
Denny's Media Team Blue 449/APEX US Awareness FY'18 OP002267,OP002267,Quick Service Restaurant (QSR)
Fairlife Milk Starcom/APEX US Core Power Q2-Q3'18 OP002322,OP002322,CPG/Food & Drink
Dairy Queen Spark/APEX USA Premium OLV Food Q4'17-Q1'18 OP002274,OP002274,Quick Service Restaurant (QSR)
Sony Music: Whitney Houston US Q4 2017 OP002374,OP002374,Arts & Entertainment
StubHub Starcom/APEX US MLB Campaign Q2'19 OP003421,OP003421,Arts & Entertainment
FCA Publicis/APEX US Maserati Awareness FY'21 OP006047,OP006047,Automotive
FCA Publicis/APEX US Maserati MC20 Distro FY'21 OP006048,OP006048,Automotive
Novartis Starcom/APEX US Cosentyx MPITAS 'AS Unbranded' FY21 OP005833,OP005833,Health & Fitness
WizKid Album OMD Q3 2017 OP002100,OP002100,Arts & Entertainment
Disney Channel Horizon Media US Fomo Fridays Q3 2017 OP002101,OP002101,Arts & Entertainment
Nature's Way Spark US Herbs Q1-Q2'18 OP002483,OP002483,Health & Fitness
Aerobics and Fitness Association of America Baak Media US Awareness Q1'18 OP002087,OP002087,Health & Fitness
Missouri Division of Tourism HandlPartners SF US Fall Q3-Q4  2017 OP001791 OP002088,OP002088,Travel & Tourism
Lidl Grocery Stores Starcom/APEX USA Store Openings 2H'17 OP002089,OP002089,CPG/Food & Drink
YETI Spark/APEX US Custom Shop Q2'17 OP001999,OP001999,Automotive
Pizza Hut Blue 449/APEX US $5.99 March Madness Pie Tops 2 Q1'18 OP002577,OP002577,Quick Service Restaurant (QSR)
Sally Beauty Publicis/APEX US Brand Awareness Q2-Q3'21 OP007974,OP007974,"Retail, Style & Fashion"
Del Monte Starcom/APEX US Veg Campaign Q3'18-Q2'19 OP002713,OP002713,CPG/Food & Drink
Apple OMD CL_Apple Watch_ILAAS Q1'21 OP007976,OP007976,Technology & Computing
ATT Hearts & Science US Corporate LOB Q1 2021 OP008356,OP008356,Telecommunication
REI Spark/APEX US Summer Q2-Q3'21 OP007025,OP007025,"Retail, Style & Fashion"
Red Lobster Spark/APEX US Event 1 Lobster and Shrimp Summerfest Q2-Q3'18 OP002716,OP002716,Quick Service Restaurant (QSR)
Campbell's Spark/APEX US Kettle Chips (F21) Q3'20 OP005413,OP005413,CPG/Food & Drink
Prudential US Brand Campaign Q3-Q4'18 OP002994,OP002994,"Business, Finance, Real Estate"
Apple OMD US Pink Matter VOD ILAAMS Q4'20 OP006054,OP006054,Technology & Computing
Grupo Bimbo Starcom/APEX US HSBG Movies Q4'18 OP002364,OP002364,CPG/Food & Drink
Dairy Queen Spark/APEX US Food Awareness Q2'21 OP007988,OP007988,Quick Service Restaurant (QSR)
Marriott Publicis/APEX US & CA Broad Inspiration Q2-Q4'21 OP008026,OP008026,Travel & Tourism
NTARUPT Dieste Dallas Awareness Q2'18-Q1'19 OP002360,OP002360,Charitable Foundations
Kruger Xaxis CA Cashmere Channel Science ILAAS Q1-Q2 '21 OP008005,OP008005,CPG
Starz Network Starz Entertainment US Channel Science ILAAS Test Q2'2021 OP008010,OP008010,Arts & Entertainment
Honda Delaware Valley Spark/APEX Philly Spring Memorial Day Event Q2'20 OP004581,OP004581,Automotive
Chevron OOB Super Bowl Q1 2017 OP001835,OP001835,Energy Oil/Gas
Grupo Bimbo Starcom/APEX US HSBG Mini Mantecades Q4'20 OP005960,OP005960,CPG/Food & Drink
Brooklyn Bread Tonic Partners US Awareness Campaign Q3'18 OP002554,OP002554,CPG/Food & Drink
Anthem RFI Publicis/APEX State Awareness Q2-Q4'21 OP008027,OP008027,Health & Fitness
eBay Blue 449/APEX US iPhone Q3-Q4'17 OP002092,OP002092,"Retail, Style & Fashion"
Alcon Laboratories Starcom/APEX US Systane Awareness Q4'20 OP005921,OP005921,Health & Fitness
Centro Vail Summer Tourism Q1-Q3 2017 OP001823,OP001823,Travel & Tourism
Spin Master_Direct_US Mighty Express Q2'21 OP008041,OP008041,"Retail, Style & Fashion"
Honda Powersports Initiative US FY'22 Talon Campaign Q1'21-Q2'22 OP008014,OP008014,Automotive
ATT Hearts & Science US Mobility Postpaid LOB Demand Gen Q1 2021 OP007498,OP007498,Telecommunication
Starbucks Starcom/APEX US Brand Reputation Earth Month Q2'21 OP007479,OP007479,CPG/Food & Drink
Under Armour Spark/APEX US Phantom 2 Shoes Q4'20 OP005893,OP005893,"Retail, Style & Fashion"
Red Lobster Spark/APEX US Lobsterfest Q1'21 OP006037,OP006037,Quick Service Restaurant (QSR)
AT&T Regional 97th Floor Denver Mobility ILAAS Q4'20 OP006027,OP006027,Telecommunication
Novartis Starcom/APEX US Mayzent DTC Q1-Q4'21 OP006035,OP006035,Health & Fitness
Post Cereal Spark/APEX US Honey Bunches of Oats Vevo/Music Q3'18 OP002769,OP002769,CPG/Food & Drink
NAPA Autoparts PM/APEX US Hispanic Market Q2-Q4'21 OP008039,OP008039,Automotive
Cancer Brand Amplifi US Q3 2017 OP002161,OP002161,Health & Fitness
Sony Music: G-Eazy Q4 2017 OP002303,OP002303,Arts & Entertainment
Cosmopolitan Baak Media US Blue Ribbon Q1'18 OP002316,OP002316,Travel & Tourism
Mars/Wrigley Starcom/APEX US Give Extra Get Extra FY'18 OP002120,OP002120,CPG/Food & Drink
Markwins ICON US Wet N Wild Q2-Q4'18 OP002121,OP002121,"Retail, Style & Fashion"
Spin Master Initiative US Air Hogs Q1-Q2'18 OP002569,OP002569,CPG
California Avocado Commission Mullen US West Coast Q1-Q3'18 OP002284,OP002284,CPG/Food & Drink
Campbell's Spark/APEX Manhattan Dinner Insurance Q4'20 OP006223,OP006223,CPG/Food & Drink
Alcon Laboratories Starcom/APEX US Systane Awareness Q3'20 OP004743,OP004743,Health & Fitness
Bass Pro Shop Spark/APEX US General Campaign Q4'17-Q3'18 OP002169,OP002169,Hobbies & Interests
Spin Master Initiative US Shredderz Q3-Q4'18 OP002571,OP002571,CPG
NBA Spark/APEX US Regular Season Awareness & Tune-In Q1'18 OP002186,OP002186,Sports
FCA Publicis/APEX US Maserati Trofeo Q4'20 OP006022,OP006022,Automotive
Grupo Bimbo Starcom/APEX US Sara Lee Whole Wheat & Honey Wheat Bread Q1'18 OP002279,OP002279,CPG/Food & Drink
Academy Sports + Outdoors Initiative US Back to Sports Q3'18 OP002715,OP002715,Sports
Whirlpool Digitas/APEX US Whirlpool Appliances OLV Campaign Q2'18 OP002563,OP002563,Home & Garden
Snowflake IT US Tripp & Tyler Q4'18 OP002568,OP002568,Technology & Computing
Apple OMD US Health & Fitness Test_ILAAMS Q3'20 OP005807,OP005807,Technology & Computing
Tito's Vodka Publicis/APEX US Local Market Central Q2-Q4'20 OP004593,OP004593,Alcohol/LDA
TEST OPP DO NOT EDIT OP000297,OP000297,Alcohol/LDA
The Walking Dead Trailer AMC Q3 2017 OP002109,OP002109,Arts & Entertainment
SAGE Publications USA Sports Medicine Q3 2017 OP002098,OP002098,Education
Citi Global Consumer Bank Spark/APEX Q3-Q4 2017 OP002102,OP002102,"Business, Finance, Real Estate"
Hulu UM US Eater's Guide to the World ILAAMS Q4'20 OP006248,OP006248,Arts & Entertainment
Tito's Vodka Publicis/APEX US National Q3-Q4'20 OP004592,OP004592,Alcohol/LDA
Grupo Bimbo Starcom/APEX US Hispanic Soccer National Micro-Activations FY'18 OP002363,OP002363,CPG/Food & Drink
Mercy Ships Quigley-Simpson US Holiday Q4'20 OP006026,OP006026,Charitable Foundations
Mars/Wrigley Starcom/APEX US Walmart Caramel M&Ms Q2'18 OP002576,OP002576,CPG/Food & Drink
Novartis Starcom/APEX US Cosentyx AS FY'18 OP002265,OP002265,Health & Fitness
KFC Spark/APEX US $20/$5 Holiday Fill Up Q4'17 OP002243,OP002243,Quick Service Restaurant (QSR)
Dreams Beds and Mattresses Starcom/APEX Q4 '17 -  Q1 '18 OP002233,OP002233,"Retail, Style & Fashion"
AAA Insurance Media Plus Washington Help Is Here FY'21 OP005991,OP005991,Automotive
Qantas Blue 449/APEX US DNSW Q3 2017 OP002250,OP002250,Travel & Tourism
Smucker's Zenith/APEX US JIF FY22 (Q3'21+Q1'22) OP008161,OP008161,CPG/Food & Drink
Dieste: Goya YouTube Campaign: Q3-Q4'17 OP002171,OP002171,CPG/Food & Drink
Farmers Insurance Zenith/APEX US WKFE Q3-Q4 2017 OP002167,OP002167,"Business, Finance, Real Estate"
DeVry University Zenith/APEX US Awareness Q1-Q2'18 OP002160,OP002160,Education
Disney Channel Horizon Media US Andi Mack S2 OP002173,OP002173,Arts & Entertainment
LG Mobile US Q4 2017 OP002180,OP002180,Telecommunication
Brown Forman Spark/APEX US Tequila Herradura FY'20 Q3-Q4'19 OP003414,OP003414,Alcohol/LDA
Hormel PHD USA Proactive Natural Q4'17 Choice OP002113,OP002113,
Lowe's Starcom/APEX USA Project Authority Q3-Q4'17 OP002131,OP002131,Home & Garden
Mars/Wrigley Starcom/APEX US OrbitTime to Shine FY'18 OP002122,OP002122,CPG/Food & Drink
GoldieBlox US Curiosity Camp 2 IL as a Managed Service Q4'20 OP006038,OP006038,CPG
Confidential Insurance Client ICON U.S. Google Preferred Pricing Inquiry Q1'18 OP002467,OP002467,"Business, Finance, Real Estate"
Hallmark Channel RFI Zenith/APEX US Countdown to Christmas Q4'18 OP002514,OP002514,Arts & Entertainment
Ruffchain Blockchain Awareness Q1-Q2'18 OP002532,OP002532,Technology & Computing
Paper and Packaging Board Starcom/APEX USA Flight 1 FY?18 OP002452,OP002452,"Business, Finance, Real Estate"
Nido Metavision USA Q3-Q4 2017 OP001962,OP001962,CPG/Food & Drink
Toyota H&L Partners NorCal World Cup Q2-Q3'18 OP002736,OP002736,Automotive
FOX TH Zenith/APEX US Maze Runner Death Cure Q1'18 OP002415,OP002415,Arts & Entertainment
Tempur-Sealy Blue 449/APEX US Stearns & Foster Mattress Q2-Q3'17 OP001933,OP001933,Home & Garden
Refuel: Face the Issue / Q2-Q3 2017 OP001968,OP001968,Education
Samsung Starcom US Tab3 Influencer Campaign Q2'18 OP002497,OP002497,Technology & Computing
Apple OMD US_ iPhone - Drivers License_ILAAS Q2'21 OP008927,OP008927,Technology & Computing
Summit Health Publicis/APEX ZIPs Connected & Personal Campaign Q2-Q4'21 OP008942,OP008942,Health & Fitness
NetEase Games VS Media US Awareness Q2'18 OP002453,OP002453,Arts & Entertainment
Ben Bridge Media Plus Select US Markets Bella Ponte Q3'21 OP008477,OP008477,"Retail, Style & Fashion"
Discover Spark/APEX US Match Creative Q2 2017 OP001929,OP001929,"Business, Finance, Real Estate"
Post Cereal Spark/APEX US Millennials Mondelez Sweet Cereals Q2'18 OP002392,OP002392,CPG/Food & Drink
Lowe's Starcom/APEX US AOP MDV SOL GHC POF Q1-Q2'18 OP002522,OP002522,Home & Garden
Lowe's Starcom/APEX US AOP 11 MDVs Q1-Q2'18 OP002490,OP002490,Home & Garden
Southwest Airlines Spark Foundry/APEX US Summer Scatter Q3'20 OP005085,OP005085,Travel & Tourism
FDA Initiative US General Market Smokeless Q1'18 OP002509,OP002509,Health & Fitness
CDPHE Centro Colorado Youth Campaign Amelie Company Q1'18 OP002425,OP002425,Education
Airbnb Starcom/APEX USA Q2-Q3 2017 OP001931,OP001931,Travel & Tourism
Amazon Studios Initiative US All Or Nothing S2  Q3'17 OP001944,OP001944,Arts & Entertainment
CDW Ogilvy & Mather US Product Launch Q2'18 OP002588,OP002588,Technology & Computing
Kraft Starcom/APEX US Lunchables Kids Q2-Q4'18 OP002377,OP002377,CPG/Food & Drink
SAGE Publications USA Sensor Q2-3 2017 OP001955,OP001955,Education
Grupo Bimbo Starcom/APEX US SBG Q2'17 OP001941,OP001941,CPG/Food & Drink
My Little Pony/APEX US Netflix Promotion Q3'21 OP009551,OP009551,CPG
Breakout Facebook/Instagram Q3 2017 OP001970,OP001970,Society
CA Lottery Casanova CA Jackpot Alerts Q2'18 OP002499,OP002499,Arts & Entertainment
Joyso ICO Blockchain Wavenet Global Awareness Q2'18 OP002531,OP002531,Technology & Computing
Tyson Mindshare Snacked Q3-Q4'21 OP009550,OP009550,CPG/Food & Drink
Got Milk MBMG US Bones Love Milk Q2'18 OP002489,OP002489,CPG/Food & Drink
Spin Master Initiative US HedBanz Q4'18 OP002574,OP002574,CPG
Sauer Brands GRP Media US Q3-Q4'21 OP009541,OP009541,CPG/Food & Drink
CA Lottery Casanova CA Loteria Scratcher Q2'18 OP002423,OP002423,Arts & Entertainment
eBay Blue 449/APEX US Why eBay Q1'18 OP002478,OP002478,"Retail, Style & Fashion"
Nature's Way Spark US Fortify Q1-Q3'18 OP002391,OP002391,Health & Fitness
Brave Blockchain US Browser Q2'18 OP002711,OP002711,Technology & Computing
Arby's Initiative US Local Kentucky Derby Q2'18 OP002685,OP002685,Quick Service Restaurant (QSR)
Luxottica Publicis/APEX DMAs Ray-Bans Q3'20 OP005091,OP005091,"Retail, Style & Fashion"
Beringer: Main and Vine Baru Q4 17' - Q2 18' OP001979,OP001979,Alcohol/LDA
ATT Hearts & Science US VIDEO LOB ILAAS Q2-Q3 2021 OP008700,OP008700,Telecommunication
Covered CA Campbell Ewald CA Open Enrollment 6 GM Q4'18-Q1'19 OP002642,OP002642,Health & Fitness
Munchkin Campbell Ewald USA Grassfed Baby Formula Q1-Q4 OP001926,OP001926,Family & Parenting
Arby's Initiative US Local ARG Q2-Q4'18 OP002669,OP002669,Quick Service Restaurant (QSR)
Campbell's Spark/APEX US Cape Cod Chips (F21) Q3-Q4'20 OP005109,OP005109,CPG/Food & Drink
Grace Farms Geometry US Team Freedom Q2'18 OP002052,OP002052,"Law, Govt & Politics"
GoldieBlox US Curiousity Camp IL as a Managed Service Q3'20 OP005134,OP005134,CPG
Arapahoe Community College Amelie US F1 Fall Enrollment Q2'21 OP008659,OP008659,Education
Grupo Bimbo Starcom/APEX US Marinela Branding FY'18 OP002659,OP002659,CPG/Food & Drink
Honda Delaware Valley Spark/APEX US Avalon Fringe Q2-Q4'18 OP002651,OP002651,Automotive
Apple OMD US_ATV+ Home Before Dark S2_ILAAS Q2'21 OP008474,OP008474,Arts & Entertainment
Gold House Direct US A100 List Charity Q2'21 OP008562,OP008562,Charitable Foundations
AEB Starcom/APEX US Incredibles Q2-Q3'18 OP002712,OP002712,CPG/Food & Drink
KFC Spark/APEX USA August Event Q3'17 OP002034,OP002034,Quick Service Restaurant (QSR)
Honda Delaware Valley Spark/APEX US Lehigh Fringe Q2-Q4'18 OP002654,OP002654,Automotive
SAGE Publications USA Mech Q2 2017 OP001956,OP001956,Education
Honda Delaware Valley Spark/APEX Philly Accord Sell Down Q2-Q4'18 OP002665,OP002665,Automotive
Confidential Client Publicis/APEX US Moms and PTA Members Q2'18 OP002647,OP002647,Family & Parenting
Cox Communications RFI Spark/APEX US Contour Box FY'18 OP002706,OP002706,Telecommunication
Spin Master PHD US Kinetic Sand Sandisfactory Fall Q3'21 OP009970,OP009970,Arts & Entertainment
Mcdonald's Handlpartners US Uber Eats Q3-Q4 2017 OP002083,OP002083,Technology & Computing
ATT Hearts & Science US Mobility Postpaid BAU ILAAS Q2 2021 OP009982,OP009982,Telecommunication
Nature's Way Spark US Herbs Q1-Q2'19 OP003167,OP003167,Health & Fitness
WSBT Sweeps Echo Point Media US Q3-Q4'21 OP010035,OP010035,Telecommunication
Austin Convention Visitor Bureau Latinworks USA Q2-Q3 2017 OP001953,OP001953,Travel & Tourism
Nature's Way Spark US Sambucus Q1-Q2'19 OP003168,OP003168,Health & Fitness
Touro College Dragan Consulting Q3 2017 OP002081,OP002081,Education
Advance Auto Parts ICON US Q3-Q4 2017 OP002071,OP002071,Automotive
Alcon Laboratories Starcom/APEX US Systane Complete Q3'21 OP010027,OP010027,Health & Fitness
Red Lobster Spark/APEX US Event 6 Lobsterfest Q1-Q2'18 OP002313,OP002313,Quick Service Restaurant (QSR)
VF Corp Publicis/APEX US Dickies United by Good Q3-Q4'21 OP009971,OP009971,"Retail, Style & Fashion"
Kenny Kakaty US Q3 2017 OP002078,OP002078,Society
Southwest Airlines Spark Foundry LA Area FY'19 OP003173,OP003173,Travel & Tourism
Grupo Bimbo Starcom/APEX US Pan Bimbo Q2'17 OP001942,OP001942,CPG/Food & Drink
Lactalis Starcom/APEX Canada Balderson H2 Digital Q4'21 OP010012,OP010012,CPG/Food & Drink
AT&T 97th Floor Regional RMR ILAAS Q3-Q4'21 OP010011,OP010011,Technology & Computing
UnitedHealthcare Y Marketing US Q4 2017 OP002188,OP002188,Health & Fitness
Spin Master_PHD_US Tech Deck Nyjah Q3'21 OP010026,OP010026,Arts & Entertainment
Fitbit UM SF Alta HR Q3 2017 OP001972,OP001972,Technology & Computing
Sterling Vineyards Baru USA Q4 17' Q2 18' OP001934,OP001934,Alcohol/LDA
Sally Hansen Socialyse USA Q1-Q1 OP001924,OP001924,"Retail, Style & Fashion"
Spin Master PHD US Cool Maker Shimmer Me Fall Q3'21 OP009969,OP009969,Arts & Entertainment
Apple OMD US_Today @ Apple_ILAAMS Q3'21 OP009992,OP009992,Arts & Entertainment
Facebook Mindshare US GO Audience & Creative Testing Q3'21 OP009968,OP009968,Technology & Computing
TourismOhio Marcus Thomas 2019 Media Q1-Q4'19 OP003253,OP003253,Travel & Tourism
Starbucks Spark/APEX US Teavana Packaged Q1'19 OP003254,OP003254,CPG/Food & Drink
Pizza Hut Blue 449/APEX US 2019 Campaign Q4'18-Q4'19 OP003251,OP003251,Quick Service Restaurant (QSR)
NOS Energy Drinks US Human Horsepower Q4'18 OP003252,OP003252,CPG/Food & Drink
Nissan OMD US Business Advantage & Fleet Campaign Q3'21-Q1'22 OP008812,OP008812,Automotive
GoldieBlox US Sony Peter Rabbit Q2'21 OP008824,OP008824,Arts & Entertainment
Boss Baby 2 Home Entertainment- Essence Canada Q3'21 OP009787,OP009787,Arts & Entertainment
Mattel Spark US Kids Campaign ILAAS Q3-Q4'20 OP005136,OP005136,Family & Parenting
Nubu Salmon Borre US Brand Campaign Q3'21 OP009764,OP009764,CPG/Food & Drink
Vizio US Dolby Atmos Sound Bar Gaming Awareness Q2-Q3'19 OP003261,OP003261,Technology & Computing
eBay Blue449/APEX Brand Beat Q1'19 OP003263,OP003263,"Retail, Style & Fashion"
Apple OMD US_ Watch Summer_ILAAS Q3'21 OP009790,OP009790,Technology & Computing
Apple OMD US ATV+ See S2 ILAAMS Q3'21 OP009791,OP009791,Arts & Entertainment
Parlux Paris Hilton Fragrance Awareness Q4'21,ss Q4'21,"Retail, Style & Fashion"
Macy's APEX US Estee Lauder Make Good Q4'18 OP003264,OP003264,"Retail, Style & Fashion"
Fair Publicis/APEX California Consideration Q1'19 OP003259,OP003259,Automotive
Apple OMD US ATV+ Multishow_ILAAMS Q3'20 OP005173,OP005173,Technology & Computing
Cepia Bananas Toy US Q1-Q2'19 OP003267,OP003267,CPG
Luxottica Publicis/APEX US RON Awareness Q1'19-Q4'19 OP003257,OP003257,"Retail, Style & Fashion"
